SMILES;MW;LogP;HBD;HBA;TPSA;RotatableBonds;Lipinski;Veber;PAINS;Brenk;Status
C=CCCCCCCSC1=NSN=C1C2=CCCN(C)C2;323.5310000000002;4.485600000000004;0.0;5.0;29.020000000000003;9.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2SCCCC#C;279.43399999999997;2.762500000000001;0.0;5.0;29.020000000000003;5.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2SCCCCCCC;311.5200000000001;4.319500000000004;0.0;5.0;29.020000000000003;8.0;True;True;False;True;
ClC1=NSN=C1C2(Cl)CN3CC2CCC3;264.181;2.3512000000000004;0.0;4.0;29.020000000000003;1.0;True;True;False;True;
CO/N=C1CN2CC/1CCC2;154.21299999999997;0.7144000000000001;0.0;3.0;24.83;1.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2SC3CCCC3;281.45000000000005;3.2917000000000023;0.0;5.0;29.020000000000003;3.0;True;True;False;False;
CN(C1)CCC=C1C2=NSN=C2SCCOCCOC;315.4640000000001;2.0120999999999998;0.0;7.0;47.480000000000004;8.0;True;True;False;True;
ClCCCSC1=NSN=C1C2=CCCN(C)C2;289.857;2.9780000000000015;0.0;5.0;29.020000000000003;5.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2SCCCCC=C;295.47700000000003;3.7054000000000027;0.0;5.0;29.020000000000003;7.0;True;True;False;True;
COCCSC1=NSN=C1C2=CCCN(C)C2;271.411;1.9955;0.0;6.0;38.25000000000001;5.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2CCCCCCCC;293.48;4.160000000000004;0.0;4.0;29.020000000000003;8.0;True;True;False;True;
CCCCCOC1=NSN=C1C2=CCCN(C)C2;267.398;2.8260000000000014;0.0;5.0;38.25000000000001;6.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2CC3CC3;235.35599999999997;2.2095000000000002;0.0;4.0;29.020000000000003;3.0;True;True;False;False;
CN(C1)CCC=C1C2=NSN=C2CCCCCCC;279.453;3.7699000000000025;0.0;4.0;29.020000000000003;7.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2CCC;223.34499999999997;2.2095000000000002;0.0;4.0;29.020000000000003;3.0;True;True;False;False;
CN(C1)CCC=C1C2=NSN=C2CCCCC;251.39899999999994;2.989700000000002;0.0;4.0;29.020000000000003;5.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2OCCCCCC;281.425;3.2161000000000017;0.0;5.0;38.25;7.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2OCCOCCOCC;313.42300000000006;1.6889;0.0;7.0;56.71000000000001;9.0;True;True;False;True;
CCCCCCOC1=NSN=C1C2=CC=CN=C2;263.366;3.5592000000000024;0.0;5.0;47.900000000000006;7.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2OCCOCCCC;297.42400000000004;2.4525000000000006;0.0;6.0;47.480000000000004;8.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2CCCCC=C;263.40999999999997;3.155800000000002;0.0;4.0;29.020000000000003;6.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2SCCOC;271.411;1.9954999999999998;0.0;6.0;38.25;5.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2OCCCCCC;281.425;3.2161000000000017;0.0;5.0;38.25;7.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2OCCOCCOCCCC;341.47700000000015;2.469100000000001;0.0;7.0;56.71000000000001;11.0;True;False;False;True;
CN(C1)CCC=C1C2=NSN=C2NCCCCCC;280.44100000000003;3.249200000000002;1.0;5.0;41.050000000000004;7.0;True;True;False;True;
CN(C1)CCC=C1C2=NSN=C2SCCCC;269.43899999999996;3.1492000000000013;0.0;5.0;29.020000000000003;5.0;True;True;False;True;
